poi_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
18,13.755775,13.961668,13.642171,15.840945,12.770991,19.953984,12.914600,9.712470,22.875075,68.891831,27.738968,7.876385,39.143980,26.784025,35.845606,35.733526,23.844046,0.000000,83.130663,15.353781,16.315787,37.799678,40.193896,37.227211,34.814198,42.371612,42.472205,37.893314,19.617150,26.182459,47.990456,40.153063,17.628910,14.243349,17.041393,17.156465,12.500935,49.286137,33.563642,18.656557,42.538295,20.577713,80.507365,39.001678,38.709790,14.358242,36.362603,7.478430,48.471583,118.031326
19,74.145655,75.194528,77.894776,92.180054,77.498344,71.609713,87.490745,85.543295,86.255548,21.717191,84.974738,83.033440,53.361239,64.385393,51.921665,110.194476,78.115974,83.130663,0.000000,77.385518,77.404709,64.061123,53.585752,68.899227,74.690564,79.292275,78.622690,67.377779,79.239117,61.726749,35.747599,64.968183,85.616123,84.402193,78.826627,77.462975,74.151511,84.760311,68.767967,77.131866,83.389258,81.496039,126.246577,59.586152,54.700214,89.063838,74.738923,86.800757,49.121566,76.314317
20,4.701851,3.299425,1.711612,14.997186,2.699766,6.299930,10.509649,9.771947,11.554178,66.714860,14.537849,8.721184,27.425465,14.302150,26.114781,33.380891,8.775386,15.353781,77.385518,0.000000,1.005810,23.355789,28.131524,22.127383,19.463818,27.191372,27.247820,22.943809,5.028598,15.825429,44.835541,25.442565,8.573467,7.047823,2.508586,1.889290,6.012169,34.394458,18.584642,3.355435,27.749195,7.048023,69.046939,25.402903,26.614640,11.870940,21.012941,12.535949,36.222230,122.425897
21,5.469022,4.104275,2.688188,15.196950,3.705075,5.998401,10.834411,10.376504,10.889798,66.996518,13.643105,9.527277,27.052292,13.963117,25.963565,33.161892,7.769692,16.315787,77.404709,1.005810,0.000000,22.630150,27.714613,21.272325,18.498533,26.192760,26.252703,22.122397,4.092044,15.739713,45.108580,24.663905,8.320501,7.203908,1.760889,0.883763,6.871510,33.388701,17.766274,2.358273,26.743949,6.227142,68.162904,24.801603,26.202180,12.092623,20.046829,13.249300,35.751565,123.042436
22,24.058448,23.883446,24.911102,36.421268,25.459359,17.856142,32.829014,32.966349,26.007391,59.798839,22.715006,32.059096,11.395512,12.111450,16.032874,49.281499,18.071482,37.799678,64.061123,23.355789,22.630150,0.000000,10.732341,4.863665,10.710852,16.135243,15.564451,3.435217,21.472289,15.244516,39.723271,2.807755,28.089192,28.971146,22.902614,22.033314,25.423056,23.274665,5.649904,20.761317,19.913442,22.684017,65.393676,4.488250,9.990121,33.633871,10.678430,35.876856,15.884432,122.477877
23,26.995098,27.384364,29.322424,42.755402,29.477234,21.847230,38.543434,37.810046,34.079144,49.204591,31.853943,36.177275,1.472735,13.893739,7.666541,58.038399,25.745858,40.193896,53.585752,28.131524,27.714613,10.732341,0.000000,15.581269,21.145760,26.768434,26.168056,14.161155,28.034642,14.090170,29.749958,12.345450,34.872910,34.820045,28.595662,27.402226,27.905854,33.553660,15.188581,26.521386,30.624696,29.873134,75.848005,6.304985,1.520605,39.715150,21.315756,40.233670,8.282695,112.503240
24,23.767773,23.312288,23.794038,33.867290,24.524327,17.515655,30.694116,31.293378,22.702937,64.534107,18.809661,30.793821,16.182084,13.811333,20.398635,45.300484,15.393072,37.227211,68.899227,22.127383,21.272325,4.863665,15.581269,0.000000,6.096491,11.519819,11.002680,1.577606,19.304696,17.633098,44.211104,4.531559,25.495216,26.880850,21.175781,20.549819,25.279502,19.002497,3.759171,19.132854,15.144023,20.057465,60.829764,9.350705,14.773212,31.278711,5.854598,34.376938,20.440011,126.864004
25,22.191010,21.408996,21.174871,29.238292,22.095234,16.381054,26.590581,27.711948,17.485629,69.479658,13.064274,27.711791,21.543574,15.633971,24.919217,39.361379,11.343988,34.814198,74.690564,19.463818,18.498533,10.710852,21.145760,6.096491,0.000000,8.557764,8.374552,7.671309,15.618809,19.811631,48.639207,10.589266,21.000102,22.933887,17.935740,17.663905,23.803864,16.446033,6.254100,16.165087,10.966254,15.737145,56.735374,15.131125,20.152354,26.913114,1.549835,30.924777,26.504578,130.884238
26,30.380039,29.479818,28.874997,34.544517,29.883181,24.800633,32.757815,34.438177,22.338739,75.928393,16.958574,34.898878,27.520099,23.973419,31.917151,40.524134,18.528071,42.371612,79.292275,27.191372,26.192760,16.135243,26.768434,11.519819,8.557764,0.000000,0.703535,12.724184,22.774917,28.103938,55.730633,14.524996,26.888563,29.434039,25.330653,25.320198,32.005163,7.914646,13.841546,23.836047,4.164033,22.219160,49.311632,20.464481,26.118490,32.713636,7.235291,37.697334,30.200549,138.366912
27,30.350997,29.476575,28.938621,34.885568,29.933723,24.700063,33.016945,34.640593,22.682100,75.344011,17.338487,35.045434,26.937608,23.653369,31.399332,41.127282,18.632148,42.472205,78.622690,27.247820,26.252703,15.564451,26.168056,11.002680,8.374552,0.703535,0.000000,12.167100,22.900366,27.765930,55.202626,13.898474,27.161027,29.652339,25.432502,25.384275,31.974387,8.224566,13.449681,23.894512,4.862777,22.417747,49.849494,19.866727,25.538290,33.007787,6.987323,37.898771,29.524180,137.865660
